model,acc
gpt-4o-2024-08-06,0.5091383812010444
Llama-3.3-70B-Instruct,0.4960835509138381
gemma-2-27b-it,0.5221932114882507
gpt-4o-mini-2024-07-18_rar,0.5169712793733682
gpt-4o-mini-2024-07-18,0.5039164490861618
gpt-4o-mini-2024-07-18_meta,0.5065274151436031
gpt-4o-mini-2024-07-18_selfref,0.4882506527415143
gpt-4o-mini-2024-07-18_stepback,0.5065274151436031
gpt-4o-mini-2024-07-18_sgicl,0.5587467362924282
gpt-4o-mini-2024-07-18_contr,0.5195822454308094
gpt-4o-mini-2024-07-18_selfcon,0.4830287206266319
