model,mrr,map@1,map@3,map@5,mrec@1,mrec@3,mrec@5
gpt-4o-2024-08-06,0.6605992788760412,0.5796344647519582,0.627937336814622,0.5799354511169127,0.1468583081622558,0.2210891869000824,0.2491101428890921
Llama-3.3-70B-Instruct,0.6803307223672759,0.608355091383812,0.64490861618799,0.5843124456048736,0.1575803790436523,0.225380170848973,0.2560480195009618
gemma-2-27b-it,0.3476066144473456,0.2741514360313316,0.3209312445604872,0.30660719466202474,0.09585061178518407,0.143807914810833,0.15670915885936626
